"fecha","prec","prec_norm","prec_zscore"
2016-05-01,0,0,-0.308145639943706
2016-05-02,0,0,-0.308145639943706
2016-05-03,0,0,-0.308145639943706
2016-05-04,0,0,-0.308145639943706
2016-05-05,1.2,0.0431654676258993,0.0380176889856494
2016-05-06,8.3,0.298561151079137,2.08615071848434
2016-05-07,5.7,0.205035971223022,1.33613017247073
2016-05-08,14.8,0.532374100719424,3.96120208351835
2016-05-09,7.6,0.273381294964029,1.88422210994221
2016-05-10,6.6,0.237410071942446,1.59575266916775
2016-05-11,6.4,0.23021582733813,1.53805878101286
2016-05-12,0,0,-0.308145639943706
2016-05-13,0.3,0.0107913669064748,-0.221604807711367
2016-05-14,0,0,-0.308145639943706
2016-05-15,0,0,-0.308145639943706
2016-05-16,0,0,-0.308145639943706
2016-05-17,0,0,-0.308145639943706
