"identif","st_x","st_y"
"PM11161","-3.68083955359639","40.3870186323574"
"PM11168","-3.68080722188316","40.3868743690185"
"PM11201","-3.68437566094399","40.3832423298383"
"PM11208","-3.68438964222746","40.3831239432094"
"PM11301","-3.69151491282951","40.3834826676811"
"PM11303","-3.69156987754479","40.3834304465951"
"PM11981","-3.73436384182205","40.4265396964554"
"PM12061","-3.73731214335817","40.4312033234726"
"PM12121","-3.73765953459303","40.4369438733129"
"PM12122","-3.73729925548401","40.4374170733449"
"PM12211","-3.73948755028384","40.4440063706314"
"PM12241","-3.74161632958306","40.4493803902739"
"PM12331","-3.74396753742904","40.4558974759209"
"PM12342","-3.74455947310065","40.4573597423729"
"PM12391","-3.7464474807031","40.4609804761642"
"PM12471","-3.74959718279603","40.4675060087702"
"PM12502","-3.75026926507186","40.4706844249428"
"PM12571","-3.74591669339833","40.4737058041785"
"PM12572","-3.74493778466298","40.4736411467651"
"PM12622","-3.73840337450559","40.4729753510621"
"PM12641","-3.73613193119619","40.472498683064"
"PM12721","-3.72908425607363","40.472010337808"
"PM12781","-3.72223208540706","40.4744008976979"
"PM12851","-3.71569315160391","40.4783997503726"
"PM12921","-3.70787720610077","40.4805825712683"
"PM12961","-3.70336893225426","40.4817063298873"
"PM12981","-3.70092058560659","40.4826031550771"
"PM13011","-3.69786854428244","40.4837578313008"
"PM13014","-3.69782481865752","40.4836913177369"
"PM13041","-3.69465531625035","40.4846773905511"
"PM13044","-3.69465423695212","40.4846286365357"
"PM13101","-3.68817553676198","40.4825748821713"
"PM13103","-3.68812839132066","40.4826389534702"
"PM13104","-3.68821444603524","40.4825181938712"
"PM13181","-3.68049973826588","40.4825543339804"
"PM13202","-3.67742250187708","40.4831705625819"
"PM13212","-3.67488984114115","40.4827884801758"
"PM13221","-3.67228157805739","40.4842568181931"
"PM13222","-3.67222055327219","40.4842760598681"
"PM20001","-3.67067122298996","40.4916196351554"
"PM20002","-3.67057476122189","40.4915614448478"
"PM20021","-3.67350663067984","40.4812165750304"
"PM20025","-3.67326803619747","40.4813070606333"
"PM20026","-3.67340450375194","40.4812084561833"
"PM20041","-3.67401061344347","40.4750026975109"
"PM20042","-3.67389209405632","40.4750199476399"
"PM20151","-3.67146128669803","40.4702917861875"
"PM20152","-3.67123139754859","40.470404948432"
"PM20231","-3.66811685784664","40.4658333946241"
"PM20232","-3.66779666083927","40.4658845023578"
"PM20233","-3.66789569274633","40.4658524953867"
"PM20261","-3.66564219799467","40.4612947739803"
"PM20262","-3.66544233993559","40.46141321364"
"PM20321","-3.66353241765608","40.4565427095593"
"PM20322","-3.6633316021736","40.4566186782427"
"PM20327","-3.66364197298267","40.4565235061156"
"PM20404","-3.66254110315867","40.4505327870556"
"PM20411","-3.66241246288251","40.4495728139262"
"PM20412","-3.66218309123847","40.4496439506784"
"PM20441","-3.66080876501253","40.4449718991488"
"PM20442","-3.66055252850715","40.4450809281151"
"PM20471","-3.65928487442759","40.4418488407179"
"PM20472","-3.65895706077453","40.4418302670192"
"PM20473","-3.65908376259225","40.441837357476"
"PM20571","-3.65973233524693","40.4346388509792"
"PM20572","-3.65951960634949","40.434588067782"
"PM20661","-3.66006376457776","40.4268317594072"
"PM20662","-3.65991643965216","40.4268215072867"
"PM20664","-3.6599955455948","40.4269696949918"
"PM20667","-3.65981579031927","40.4268649406438"
"PM20721","-3.65895456592058","40.4215355562474"
"PM20722","-3.65873753447415","40.4215152547795"
"PM20742","-3.65837855156996","40.4193844468189"
"PM207541","-3.65825462657619","40.4191162040559"
"PM207731","-3.65788334967635","40.4162434835344"
"PM207741","-3.65753386287319","40.4164608520826"
"PM20831","-3.65909018928618","40.4160537151162"
"PM20832","-3.65882637562694","40.4160617938524"
"PM20834","-3.65888601743817","40.4160805361299"
"PM20851","-3.66240287662802","40.4106969097586"
"PM20852","-3.66140392864909","40.411880197689"
"PM20854","-3.66112458388011","40.4121547082662"
"PM20873","-3.66274755190638","40.409349406493"
"PM20874","-3.66274250676332","40.409789784958"
"PM20911","-3.66439140806796","40.4065395453565"
"PM20912","-3.66419995302254","40.4064896826679"
"PM20913","-3.66449911658998","40.4065773791436"
"PM20942","-3.66597097025045","40.4029819273785"
"PM20944","-3.66581162530453","40.4031773452353"
"PM20971","-3.66693777123025","40.4011858900292"
"PM20972","-3.66688953999464","40.4008166070998"
"PM20976","-3.66696609362586","40.4008437888625"
"PM21081","-3.67476352857447","40.3927347414181"
"PM21148","-3.67972857672171","40.3876870627965"
"PM21181","-3.68110335302871","40.3861503486655"
"PM21185","-3.68101418084453","40.3861194313239"
"PM21188","-3.68085743516089","40.3860678746004"
"PM21192","-3.68324240736835","40.3829390429545"
"PM21193","-3.68292649373302","40.3827072319878"
"PM21231","-3.68784554679014","40.3810068556023"
"PM21236","-3.68784591815926","40.3809399969511"
"PM21301","-3.69224629000281","40.3831195461704"
"PM21307","-3.69231565945326","40.3830330781061"
"PM21941","-3.7308809358663","40.4240166820869"
"PM22081","-3.73819387234211","40.4336772900204"
"PM22082","-3.73830202084169","40.4336711621918"
"PM22121","-3.73814577877323","40.4381765320967"
"PM22211","-3.73953514409254","40.4434825081711"
"PM22241","-3.74139877420615","40.4484988063588"
"PM22341","-3.74411205775478","40.4558386979244"
"PM22391","-3.74656205483399","40.4609010253077"
"PM22392","-3.7465146719129","40.4605752034544"
"PM22471","-3.74967950400468","40.4671732121199"
"PM22502","-3.75066053568398","40.470629447813"
"PM22571","-3.7453563465968","40.4738256286382"
"PM22572","-3.74793431483997","40.4738587640036"
"PM22641","-3.73577851611041","40.4725302591508"
"PM22721","-3.7287570567272","40.4722046475913"
"PM22781","-3.72240773508873","40.4745461944105"
"PM22851","-3.71582609839768","40.4784901265784"
"PM22901","-3.71012391819343","40.4802155092187"
"PM22971","-3.70234260836738","40.4821859356176"
"PM23011","-3.69746144258453","40.4840239834704"
"PM23071","-3.69055547025614","40.4838499572452"
"PM23073","-3.69061339116845","40.4837571979372"
"PM23111","-3.68803955367615","40.4828420888135"
"PM23181","-3.68076887557856","40.4827580646961"
"PM23187","-3.68073793839638","40.4826853354962"
"PM23221","-3.6725822778375","40.4842321104366"
"PM23222","-3.6724866293832","40.4841805919769"
"PM30461","-3.65660753040198","40.4451769055522"
